Index,English Name,Chinese Name,Label,Type
0,Industrial and Commercial Bank of China ,工商银行,B0,0
1,Agricultural Bank of China ,农业银行,B1,0
2,Bank of China ,中国银行,B2,0
3,China Construction Bank,建设银行,B3,0
4,Bank of Communications ,交通银行,B4,0
5,Postal Savings Bank of China ,邮政储蓄银行,B5,0
6,China Citic Bank,中信银行,B6,1
7,China Everbright Bank ,光大银行,B7,1
8,China Merchants Bank ,招商银行,B8,1
9,Shanghai Pudong Development Bank,浦东发展银行,B9,1
10,China Minsheng Banking Corporation Limited,民生银行,B10,1
11,Hua Xia Bank,华夏银行,B11,1
12,Ping An Bank ,平安银行,B12,1
13,Industrial Bank ,兴业银行,B13,1
14,China Guangfa Bank ,广发银行,B14,1
15,China Bohai Bank ,渤海银行,B15,1
16,China Zheshang Bank ,浙商银行,B16,1
17,Evergrowing Bank ,恒丰银行,B17,1
18,Bank of Beijing ,北京银行,B18,2
19,Bank of Tianjin ,天津银行,B19,2
20,Bank of Hebei ,河北银行,B20,2
21,Bank of Baoding ,保定银行,B21,2
22,Bank of Cangzhou ,沧州银行,B22,2
23,Bank of Chengde ,承德银行,B23,2
24,Bank of Handan ,邯郸银行,B24,2
25,Bank of Hengshui ,衡水银行,B25,2
26,Bank of Langfang ,廊坊银行,B26,2
27,Bank of Qinhuangdao ,秦皇岛银行,B27,2
28,Bank of Tangshan ,唐山银行,B28,2
29,Bank of Xingtai ,邢台银行,B29,2
30,Bank of Zhangjiakou ,张家口银行,B30,2
31,Jinshang Bank ,晋商银行,B31,2
32,Bank of Inner Mongolia,内蒙古银行,B32,2
33,Ordos Bank,鄂尔多斯银行,B33,2
34,Bank of Wuhai,乌海银行,B34,2
35,Shengjing Bank ,盛京银行,B35,2
36,Bank of Jinzhou ,锦州银行,B36,2
37,Bank of Anshan ,鞍山银行,B37,2
38,Bank of Benxi ,本溪银行,B38,2
39,Bank of Chaoyang ,朝阳银行,B39,2
40,Bank of Dandong ,丹东银行,B40,2
41,Bank of Fushun ,抚顺银行,B41,2
42,Bank of Fuxin ,阜新银行,B42,2
43,Bank of Huludao ,葫芦岛银行,B43,2
44,Bank of Liaoyang ,辽阳银行,B44,2
45,Bank of Panjin ,盘锦银行,B45,2
46,Bank of Tieling ,铁岭银行,B46,2
47,Yingkou Coastal Bank ,营口沿海银行,B47,2
48,Bank of Yingkou ,营口银行,B48,2
49,Bank of Jilin ,吉林银行,B49,2
50,Harbin Bank ,哈尔滨银行,B50,2
51,Longjiang Bank ,龙江银行,B51,2
52,Bank of Shanghai ,上海银行,B52,2
53,Bank of Jiangsu,江苏银行,B53,2
54,Bank of Nanjing ,南京银行,B54,2
55,Bank of Suzhou,苏州银行,B55,2
56,Jiangsu Changjiang Commercial Bank ,江苏长江商业银行,B56,2
57,Bank of Hangzhou ,杭州银行,B57,2
58,Bank of Huzhou ,湖州银行,B58,2
59,Bank of Jiaxing,嘉兴银行,B59,2
60,Bank of Jinhua,金华银行,B60,2
61,Bank of Shaoxing ,绍兴银行,B61,2
62,Bank of Taizhou ,台州银行,B62,2
63,Bank of Wenzhou,温州银行,B63,2
64,Zhejiang Chouzhou Commercial Bank,浙江稠州商业银行,B64,2
65,Zhejiang Mintai Commercial Bank,浙江民泰商业银行,B65,2
66,Zhejiang Tailong Commercial Bank,浙江泰隆商业银行,B66,2
67,Huishang Bank,徽商银行,B67,2
68,Fujian Haixia Bank,福建海峡银行,B68,2
69,Bank of Quanzhou ,泉州银行,B69,2
70,Jiangxi Bank ,江西银行,B70,2
71,Bank of Ganzhou ,赣州银行,B71,2
72,Bank of Jiujiang ,九江银行,B72,2
73,Bank of Shangrao,上饶银行,B73,2
74,Qilu Bank ,齐鲁银行,B74,2
75,Dezhou Bank ,德州银行,B75,2
76,Dongying Bank ,东营银行,B76,2
77,Bank of Jining ,济宁银行,B77,2
78,Laishang Bank ,莱商银行,B78,2
79,Linshang Bank ,临商银行,B79,2
80,Qi Shang Bank ,齐商银行,B80,2
81,Bank of Rizhao ,日照银行,B81,2
82,Bank of Taian ,泰安银行,B82,2
83,Weihai City Commercial Bank ,威海市商业银行,B83,2
84,Bank of Weifang ,潍坊银行,B84,2
85,Yantai Bank ,烟台银行,B85,2
86,Zaozhuang Bank ,枣庄银行,B86,2
87,Zhongyuan Bank,中原银行,B87,2
88,Bank of Zhengzhou,郑州银行,B88,2
89,Bank of Pingdingshan,平顶山银行,B89,2
90,Bank of Luoyang,洛阳银行,B90,2
91,"Bank of China Travel Service Co., Ltd. Jiaozuo",焦作中旅银行,B91,2
92,Huarong Xiangjiang Bank,华融湘江银行,B92,2
93,Bank of Changsha,长沙银行,B93,2
94,Hankou Bank,汉口银行,B94,2
95,Hubei Bank,湖北银行,B95,2
96,Bank of Guangzhou,广州银行,B96,2
97,Bank of Dongguan ,东莞银行,B97,2
98,Guangdong Huaxing Bank,广东华兴银行,B98,2
99,Guangdong Nanyue Bank ,广东南粤银行,B99,2
100,China Resources Bank of Zhuhai ,珠海华润银行,B100,2
101,Guangxi Beibu Gulf Bank,广西北部湾银行,B101,2
102,Guilin Bank ,桂林银行,B102,2
103,Bank of Liuzhou ,柳州银行,B103,2
104,Bank of Hainan ,海南银行,B104,2
105,Chongqing Three Gorges Bank,重庆三峡银行,B105,2
106,Bank of Chongqing ,重庆银行,B106,2
107,Bank of Chengdu ,成都银行,B107,2
108,Bank of Dazhou ,达州银行,B108,2
109,Great Wall West China Bank ,长城华西银行,B109,2
110,Leshan City Commercial Bank,乐山市商业银行,B110,2
111,Luzhou Bank,泸州银行,B111,2
112,Mianyang City Commercial Bank,绵阳市商业银行,B112,2
113,Sichuan Tianfu Bank,四川天府银行,B113,2
114,Suining Bank ,遂宁银行,B114,2
115,Yaan City Commercial Bank,雅安市商业银行,B115,2
116,Yibin City Commercial Bank,宜宾市商业银行,B116,2
117,Bank of Zigong ,自贡银行,B117,2
118,Bank of Guiyang,贵阳银行,B118,2
119,Bank of Guizhou,贵州银行,B119,2
120,Fudian Bank ,富滇银行,B120,2
121,Qujing City Ccommercial Bank ,曲靖市商业银行,B121,2
122,Yunnan Hongta Bank ,云南红塔银行,B122,2
123,Bank of Tibet,西藏银行,B123,2
124,The Bank of Xi’An,西安银行,B124,2
125,Chang’An Bank,长安银行,B125,2
126,Bank of Gansu ,甘肃银行,B126,2
127,Bank of Lanzhou ,兰州银行,B127,2
128,Bank of Qinghai ,青海银行,B128,2
129,Bank of Ningxia ,宁夏银行,B129,2
130,Bank of Shizuishan ,石嘴山银行,B130,2
131,Bank of Urumqi,乌鲁木齐银行,B131,2
132,Bank of Kunlun,昆仑银行,B132,2
133,Hami City Commercial Bank,哈密市商业银行,B133,2
134,Bank of Korla,库尔勒银行,B134,2
135,Xinjiang Huihe Bank,新疆汇和银行,B135,2
136,Bank of Dalian ,大连银行,B136,2
137,Bank of Ningbo,宁波银行,B137,2
138,Ningbo Donghai Bank ,宁波东海银行,B138,2
139,Ningbo Commerce Bank,宁波通商银行,B139,2
140,Xiamen Bank,厦门银行,B140,2
141,Xiamen International Bank ,厦门国际银行,B141,2
142,Bank of Qingdao ,青岛银行,B142,2
143,Xinjiang Bank,新疆银行,B143,2
144,Mengshang Bank,蒙商银行,B144,2
145,Sichuan Bank ,四川银行,B145,2
146,Liaoshen Bank ,辽沈银行,B146,2
147,Shanxi Bank ,山西银行,B147,2
148,Kincheng Bank of Tianjin ,金城银行,B148,9
149,Shanghai Huarui Bank ,华瑞银行,B149,9
150,Zhejiang E-Commerce Bank ,网商银行,B150,9
151,Wenzhou Minshang Bank,民商银行,B151,9
152,Webank,前海微众银行,B152,9
153,Bank of Sanxiang,三湘银行,B153,9
154,Chongqing Fumin Bank ,富民银行,B154,9
155,Sichuan Xw Bank,新网银行,B155,9
156,Beijing Zhongguancun Bank,北京中关村银行,B156,9
157,Jilin Yillion Bank ,吉林亿联银行,B157,9
158,"Wuhanzbank Co., Ltd.",众邦银行,B158,9
159,Fujian Onebank,福建华通银行,B159,9
160,Weihai Blue Ocean Bank ,威海蓝海银行,B160,9
161,Jiangsu Suning Bank ,江苏苏宁银行,B161,9
162,Meizhou Hakka Bank ,梅州客商银行,B162,9
163,Anhui Xin’An Bank ,安徽新安银行,B163,9
164,Newup Bank of Liaoning ,辽宁振兴银行,B164,9
165,Jiangxi Yumin Bank ,江西裕民银行,B165,9
166,Wuxi Xishang Bank ,无锡锡商银行,B166,9
167,Beijing Rural Commercial Bank ,北京农村商业银行,B167,5
168,Beijing Miyun Hsbc Rural Bank,北京密云汇丰村镇银行,B168,3
169,Beijing Yanqing Village Bank,北京延庆村镇银行,B169,3
170,Beijing Daxing Huaxia Rural Bank,北京大兴华夏村镇银行,B170,3
171,Beijing Shunyi Yinzuo Rural Bank,北京顺义银座村镇银行,B171,3
172,Tianjin Rural Commercial Bank ,天津农村商业银行,B172,5
173,Tianjin Binhai Rural Commercial Bank,天津滨海农村商业银行,B173,5
174,Tianjin Huaming Village Bank,天津华明村镇银行,B174,3
175,Tianjin Wuqing Country Bank,天津武清村镇银行,B175,3
